date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2023-06-30,102.2000,107.8750,102.2000,107.2500,105.3951,65504055,0.0000
2023-06-23,104.6800,104.7700,101.6200,102.4000,100.6290,61197526,0.0000
2023-06-16,105.8100,108.3400,104.3900,105.1300,103.3118,103629609,0.0000
2023-06-09,107.1900,109.1400,103.9800,107.3900,105.5327,64635304,0.0000
2023-06-02,103.2900,106.1300,101.2600,105.7600,103.9309,63942864,0.0000
2023-05-26,105.8400,108.5100,104.7100,104.9700,103.1546,70303522,0.0000
2023-05-19,105.5100,107.0500,102.0200,106.2600,104.4222,67945757,0.9100
2023-05-12,110.5000,110.9700,104.7750,105.7800,103.0580,67222465,0.0000
2023-05-05,115.9900,117.3000,105.9100,108.6800,105.8833,90036779,0.0000
2023-04-28,115.9200,119.9200,114.6800,118.3400,115.2948,83913321,0.0000
2023-04-21,115.4900,117.2100,113.2298,116.0100,113.0247,72711500,0.0000
2023-04-14,114.7800,116.6600,114.1300,116.0500,113.0637,59614515,0.0000
2023-04-06,113.3900,117.1800,113.1200,115.0500,112.0894,76710596,0.0000
2023-03-31,104.7400,110.1700,103.9100,109.6600,106.8381,66068752,0.0000
2023-03-24,99.6300,107.2800,99.5000,103.5300,100.8659,106378759,0.0000
2023-03-17,105.3400,109.0100,98.0200,99.8400,97.2708,135418521,0.0000
2023-03-10,111.9900,113.8400,107.1500,107.7800,105.0065,68139427,0.0000
2023-03-03,110.8000,113.3700,109.2200,112.8100,109.9071,66367236,0.0000
2023-02-24,110.8100,112.3800,108.6400,110.7500,107.9001,54083710,0.0000
2023-02-17,117.7200,118.1800,110.9799,111.2800,108.4164,72407528,0.9100
2023-02-10,112.3600,119.6300,110.3200,119.1700,115.2134,90686124,0.0000
2023-02-03,115.0900,117.3800,109.8300,111.9200,108.2041,110787507,0.0000
2023-01-27,113.6400,117.7800,104.8700,115.6100,111.7716,78281034,0.0000
